"Date","Narration","Chq./Ref.No.","Value Dt","Withdrawal Amt.","Deposit Amt.","Closing Balance","Page Number","Minus"
"11/05/2026","BHAWANI GAS SEWA CR - 50100517133024 - HT GPS DHANI DURJANPUR","0000000000000057","11/05/26","","931.00","-5,309,974.37","2","1"
"11/05/2026","NEFT CR-PUNB0329700-BHAWANI GASSEWA-BHAWANI GAS SEWA-PUNBW26131809300","PUNBW26131809300","11/05/26","","110,000.00","-5,199,974.37","2","1"
"12/05/2026","RTGS CR-PUNB0329700-BHAWANI GASSEWA-BHAWANI GAS SEWA-PUNBR52026051217114248","PUNBR52026051217","12/05/26","","400,000.00","-4,799,974.37","2","1"
"12/05/2026","50100200741640-TPT-DEEPAK BANSAL-DEEPAKBANSAL","0000000676687096","12/05/26","50,000.00","","-4,849,974.37","2","1"
"13/05/2026","NEFT DR-PUNB0329700-CHANIGA FILLING STATION-NETBANK, MUM-HDFCH00996803395-JEETA","HDFCH00996803395","13/05/26","77,685.00","","-4,927,659.37","2","1"
"14/05/2026","HGALP0319E0372443278-LIVQUIKTECH-BILLPAY-50200026202917","0000001411993015","14/05/26","4,000.00","","-4,931,659.37","2","1"
"14/05/2026","HGALP151700372453833-LIVQUIKTECH-BILLPAY-50200026202917","0000001411993104","14/05/26","3,000.00","","-4,934,659.37","2","1"
"14/05/2026","HGALP173140372509244-IDFCFIRSTBA-BILLPAY-50200026202917","0000001411993503","14/05/26","10,000.00","","-4,944,659.37","2","1"
"14/05/2026","SI HGALP12F100346368088 DAKSHIN-14/05/26","000000000000000","14/05/26","604.00","","-4,945,263.37","2","1"
"14/05/2026","SI HGALP110CF0287896577 BSNL LA-14/05/26","000000000000000","14/05/26","1,237.00","","-4,946,500.37","2","1"
"15/05/2026","HGALP095D00382993442-DAKSHINHARY-BILLPAY-50200026202917","0000001412080033","15/05/26","7,044.00","","-4,953,544.37","2","1"
"15/05/2026","SI HGALP0EE1F0371577494 DAKSHIN-15/05/26","000000000000000","15/05/26","493.00","","-4,954,037.37","3","1"
"15/05/2026","REV-LIVQ-HGALP0319E0372443278-14/05/2026","000000000000000","15/05/26","","4,000.00","-4,950,037.37","3","1"
"15/05/2026","REV-LIVQ-HGALP151700372453833-14/05/2026","000000000000000","15/05/26","","3,000.00","-4,947,037.37","3","1"
"16/05/2026","HGALP03DF60395060035-IDFCFIRSTBA-BILLPAY-50200026202917","0000001412180415","16/05/26","10,000.00","","-4,957,037.37","3","1"
"18/05/2026","NEFT CR-KKBK0000958-BLACKBUCKLIMITED-BHAWANI GAS SEWA-CMS1382602293390","CMS1382602293390","18/05/26","","1,187.00","-4,955,850.37","3","1"
"19/05/2026","125370720-EMI RTN CHARGES-MAY-202601/01/-CDT2613939368439","CDT2613939368439","19/05/26","236.00","","-4,956,086.37","3","1"
"20/05/2026","EMI 89257953 CHQ S892579530291 052689257953","000000000000000","20/05/26","83,960.00","","-5,040,046.37","3","1"
"20/05/2026","CHQ RETURN CHGS INCL GST 05-05-2026-CDT2614039410702","0000000000000259","20/05/26","590.00","","-5,040,636.37","3","1"
"28/05/2026","HGALP1000B0513377705-IDFCFIRSTBA-BILLPAY-50200026202917","0000001413031305","28/05/26","10,000.00","","-5,050,636.37","3","1"
"28/05/2026","NEFT DR-PUNB0329700-CHANIGA FILLING STATION-NETBANK, MUM-HDFCH01021383816-JEETAPUNP","HDFCH01021383816","28/05/26","77,034.00","","-5,127,670.37","3","1"
"01/06/2026","INTEREST DEBITED TILL 31-MAY-2026","000000000000000","31/05/26","45,005.00","","-5,172,675.37","3","1"
