date,description,voucher_type,amount,closing
20/02/2026,EBANK:SELF/1495745469/SHREE MAHAKAL INDUSTRIES GH,Payment,50000.00,-543669.61
20/02/2026,NEFT-KKBKH26051944579-AMARNATH ENTERPRISES,Receipt,11571.00,-532098.61
21/02/2026,Charges for PORD Customer Payment :003456670335,Payment,5.60,-532104.21
21/02/2026,NEFT-BARBW26052393707-KASHMIK FORMULATION PVT LTD-,Payment,18303.00,-550407.21
23/02/2026,EBANK:SELF/1496097060/SHREE MAHAKAL INDUSTRIES GH,Payment,65000.00,-615407.21
25/02/2026,Charges for PORD Customer Payment :003464878151,Payment,5.60,-615412.81
25/02/2026,NEFT-BARBS26056561749-KASHMIK FORMULATION PVT LTD-,Payment,41235.00,-656647.81
28/02/2026,30380400000241:Int.Coll:01-02-2026 to 28-02-2026,Payment,3817.00,-660464.81
02/03/2026,Charges for PORD Customer Payment :003478025171,Payment,5.60,-660470.41
02/03/2026,NEFT-BARBT26061786353-KASHMIK FORMULATION PVT LTD-,Payment,26272.00,-686742.41
02/03/2026,SEVENTHDAY ADVENTST HSS-MICR INWARD CLG (CTS),Payment,7125.00,-693867.41
05/03/2026,EBANK:SELF/1497641237/SHREE MAHAKAL INDUSTRIES,Payment,10000.00,-703867.41
07/03/2026,06/4426 INSURANCE POLICY-KHOKHR,Payment,1757.00,-705624.41
08/03/2026,Charges for PORD Customer Payment :003493305738,Payment,2.65,-705627.06
08/03/2026,NEFT-BARBW26067797825-CORONA REMEDIES LIMITED-I.C.,Payment,9400.00,-715027.06
08/03/2026,EBANK:SELF/1498124256/SHREE MAHAKAL INDUSTRIES,Payment,30000.00,-745027.06
09/03/2026,Charges for PORD Customer Payment :003495427725,Payment,5.60,-745032.66
09/03/2026,NEFT-BARBY26068787412-KASHMIK FORMULATION PVT LTD-,Payment,18425.00,-763457.66
09/03/2026,IMPS/P2A/606820731629/XXXXXXXXXX5835/Transfo rmers,Payment,3181.00,-766638.66
09/03/2026,CHARGES FOR :IMPS/P2A/606820731629/XXXXXXXX,Payment,5.90,-766644.56
10/03/2026,Charges for PORD Customer Payment :003498252052,Payment,2.65,-766647.21
10/03/2026,NEFT-BARBQ26069436645-TRANSFORMERS RECTIFIERS INDI,Payment,1272.00,-767919.21
10/03/2026,Charges for PORD Customer Payment :003498253634,Payment,5.60,-767924.81
10/03/2026,NEFT-BARBQ26069437649-TRANSFORMERS RECTIFIERS INDI,Payment,10393.00,-778317.81
10/03/2026,Charges for PORD Customer Payment :003499173402,Payment,2.65,-778320.46
10/03/2026,NEFT-BARBR26069339999-TRANSFORMERS RECTIFIERS INDI,Payment,1272.00,-779592.46
11/03/2026,Charges for PORD Customer Payment :003501321508,Payment,2.65,-779595.11
11/03/2026,NEFT-BARBT26070106162-TRANSFORMERS RECTIFIERS INDI,Payment,2545.00,-782140.11
13/03/2026,NEFT-KKBKH26072811722-AMARNATH ENTERPRISES,Receipt,21319.00,-760821.11
13/03/2026,Charges for PORD Customer Payment :003507037432,Payment,5.60,-760826.71
13/03/2026,NEFT-BARBY26072443586-KASHMIK FORMULATION PVT LTD-,Payment,22235.00,-783061.71
14/03/2026,NEFT-SBIN526073774827-SHAURYA TRADERS,Receipt,43937.00,-739124.71
14/03/2026,MBK/607344369488/15:55:17/SHREE MAHAKAL INDUSTRIE,Receipt,180000.00,-559124.71
15/03/2026,NEFT-KKBKH26074845206-AMARNATH ENTERPRISES,Receipt,13944.00,-545180.71
16/03/2026,EBANK:SELF/1499470217/SHREE MAHAKAL INDUSTRIAL,Payment,30000.00,-575180.71
16/03/2026,Charges for PORD Customer Payment :003513533958,Payment,5.60,-575186.31
16/03/2026,NEFT-BARBT26075004699-KASHMIK FORMULATION PVT LTD-,Payment,16305.00,-591491.31
17/03/2026,Charges for PORD Customer Payment :003516067651,Payment,5.60,-591496.91
17/03/2026,NEFT-BARBV26076218715-TRANSFORMERS RECTIFIERS INDI,Payment,13000.00,-604496.91
18/03/2026,NEFT-SBIN526077511689-SHAURYA TRADERS,Receipt,15481.00,-589015.91
19/03/2026,EBANK:SELF/1499956128/SHREE MAHAKAL INDUSTRIES IN,Payment,350000.00,-939015.91
19/03/2026,EBANK:SELF/1499956885/SHREE MAHAKAL INDUSTRIES OD,Receipt,50000.00,-889015.91
20/03/2026,Charges for PORD Customer Payment :003523438031,Payment,5.60,-889021.51
20/03/2026,NEFT-BARBQ26079532175-KASHMIK FORMULATION PVT LTD-,Payment,24605.00,-913626.51
21/03/2026,NEFT-KKBKH26080873741-AMARNATH ENTERPRISES,Receipt,14322.00,-899304.51
21/03/2026,Charges for PORD Customer Payment :003526034678,Payment,2.65,-899307.16
21/03/2026,NEFT-BARBS26080874109-CORONA REMEDIES LIMITED-I.C.,Payment,5702.00,-905009.16
24/03/2026,Charges for PORD Customer Payment :003531786007,Payment,2.65,-905011.81
24/03/2026,NEFT-BARBX26083101057-TRANSFORMERS RECTIFIERS INDI,Payment,5090.00,-910101.81
24/03/2026,Charges for PORD Customer Payment :003531786125,Payment,2.65,-910104.46
24/03/2026,NEFT-BARBX26083101105-TRANSFORMERS RECTIFIERS INDI,Payment,2757.00,-912861.46
24/03/2026,Charges for PORD Customer Payment :003531786184,Payment,2.65,-912864.11
24/03/2026,NEFT-BARBX26083101123-TRANSFORMERS RECTIFIERS INDI,Payment,3605.00,-916469.11
24/03/2026,Charges for PORD Customer Payment :003531786650,Payment,2.65,-916471.76
24/03/2026,NEFT-BARBX26083101150-TRANSFORMERS RECTIFIERS INDI,Payment,3520.00,-919991.76
24/03/2026,Charges for PORD Customer Payment :003531798956,Payment,2.65,-919994.41
24/03/2026,NEFT-BARBX26083114421-TRANSFORMERS RECTIFIERS INDI,Payment,4029.00,-924023.41
24/03/2026,Charges for PORD Customer Payment :003531792223,Payment,2.65,-924026.06
24/03/2026,NEFT-BARBX26083104892-TRANSFORMERS RECTIFIERS INDI,Payment,3351.00,-927377.06
24/03/2026,Charges for PORD Customer Payment :003531799925,Payment,2.65,-927379.71
24/03/2026,NEFT-BARBX26083115304-TRANSFORMERS RECTIFIERS INDI,Payment,5048.00,-932427.71
24/03/2026,Charges for PORD Customer Payment :003533453515,Payment,2.65,-932430.36
24/03/2026,NEFT-BARBY26083701704-TRANSFORMERS RECTIFIERS INDI,Payment,3181.00,-935611.36
26/03/2026,Charges for PORD Customer Payment :003538414865,Payment,2.65,-935614.01
26/03/2026,NEFT-BARBR26085596348-TRANSFORMERS RECTIFIERS INDI,Payment,4369.00,-939983.01
31/03/2026,30380400000241:Int.Coll:01-03-2026 to 31-03-2026,Payment,6922.00,-946905.01
