date,description,voucher_type,amount,closing
07/05/2026,TO TRANSFER-INB SalaryPayment- CT0AEBAFA2 TRANSFER TO 33752701879 Mr. UMESH SINGH RANA /,Payment,13200.00,1793567.23
07/05/2026,TO TRANSFER-INB NEFT UTR NO:SBIN526127457713-SUMIT PAL NEFT INB: CNAFDBGAB1 TRANSFER TO 4698152044304 / SUMIT PAL,Payment,13200.00,1780367.23
07/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12799335620*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,1780667.23
07/05/2026,TO TRANSFER-UPI/DR/612764587516/SARAFPU/ICIC/9810330659/retur- TRANSFER TO 4897693162093 /,Payment,5192.00,1775475.23
07/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12799520658*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,1775775.23
07/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12799521113*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,800.00,1776575.23
07/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12799701136*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2000.00,1778575.23
07/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12700412218*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,3800.00,1782375.23
07/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12700743075*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,200.00,1782575.23
08/05/2026,BY TRANSFER-NEFT*UBIN0546569*010716654963*KENDRIYAVIDYALAYA N- TRANSFER FROM 99509044300 /,Receipt,15700.00,1798275.23
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12808250033*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,1798875.23
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12808336439*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,4000.00,1802875.23
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12808405928*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1500.00,1804375.23
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12808755118*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,500.00,1804875.23
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12808867035*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,900.00,1805775.23
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12809174921*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,6835.63,1812610.86
08/05/2026,TO TRANSFER-UPI/DR/612859381435/SUMITPA/UBIN/sumitpal66/UPI- TRANSFER TO 4897694162092 /,Payment,180.00,1812430.86
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12809668491*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1.00,1812431.86
08/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12809670938*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,6499.00,1818930.86
09/05/2026,TO TRANSFER-UPI/DR/612996295132/ASRENTE/KKBK/9756292913/UPI- TRANSFER TO 4897695162091 /,Payment,3650.00,1815280.86
09/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12916863946*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,150.00,1815430.86
09/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12917539138*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,1815730.86
09/05/2026,TO TRANSFER-UPI/DR/612926420680/SHANKAR/SBIN/shankarjos/UPI- TRANSFER TO 4897695162091 /,Payment,17500.00,1798230.86
09/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12917638425*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,200.00,1798430.86
09/05/2026,BY TRANSFER-INB- CT0AEEAUX7 TRANSFER FROM 37186115596 NHPC LIMITED /,Receipt,436844.00,2235274.86
09/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12917942856*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,200.00,2235474.86
09/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12918061008*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,40000.00,2275474.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13025066992*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,150.00,2275624.86
10/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13025073741*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,75.00,2275699.86
