date,description,voucher_type,amount,closing
13/08/2025,NEFT CR- YESPH52251145149-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,250.00,-366451.85
14/08/2025,NEFT CR-YESPH52261169138-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,403.00,-366048.85
15/08/2025,NEFT CR-YESPH52271178821-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,3410.00,-362638.85
16/08/2025,NEFT CR-YESPH52281130760-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,1058.00,-361580.85
17/08/2025,NEFT CR-YESPH52291131021-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,105.00,-361475.85
18/08/2025,NEFT CR-YESPH52301099001-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,471.00,-361004.85
19/08/2025,NEFT CR-YESPH52311136521-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,60.00,-360944.85
20/08/2025,NEFT CR-YESPH52321226492-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,70.00,-360874.85
21/08/2025,NEFT CR-YESPH52331196891-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDE MPTION YESB0000001,Receipt,15.00,-360859.85
22/08/2025,NEFT CR-YESPH52341176197-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,500.00,-360359.85
22/08/2025,CHQ PAID-MICR INWARD CLEARING-MITTAL INDUSTRIAL CORPOR-PUNJAB NATIONAL BANK (PNB)-PUNJAB NATIONAL BANK,Payment,8934.00,-369293.85
23/08/2025,NEFT CR-YESPH52350886916-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,430.00,-368863.85
24/08/2025,NEFT CR-YESPH52361115141-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,430.00,-368433.85
25/08/2025,NEFT CR-YESPH52371096468-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,40.00,-368393.85
26/08/2025,NEFT CR-YESPH52381310435-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,595.00,-367798.85
27/08/2025,NEFT CR-YESPH52391155516-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,120.00,-367678.85
28/08/2025,NEFT CR-YESPH52401110164-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,950.00,-366728.85
29/08/2025,NEFT CR-YESPH52411252457-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,784.00,-365944.85
30/08/2025,NEFT CR-YESPH52421246870-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,155.00,-365789.85
31/08/2025,NEFT CR-YESPH52431108089-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,290.00,-365499.85
31/08/2025,CASA DEBIT INTEREST CAPITALIZED,Payment,3321.00,-368820.85
01/09/2025,NEFT CR-YESPH52441034569-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,170.00,-368650.85
02/09/2025,NEFT CR-YESPH52451105893-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,315.00,-368335.85
03/09/2025,NEFT CR-YESPH52461061647-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,285.00,-368050.85
04/09/2025,NEFT CR-YESPH52471126089-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,320.00,-367730.85
05/09/2025,NEFT CR-YESPH52481087121-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,80.00,-367650.85
06/09/2025,NEFT CR-YESPH52491077711-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,247.00,-367403.85
07/09/2025,NEFT CR- YESPH52501075500-YESB0000001-PHONEPE LIMITED PA E FOR PHONEPE PR--F09 M1BBWVRZV67QREDEMPTION YESB0000001,Receipt,30.00,-367373.85
09/09/2025,NEFT CR-YESAP52524669859-YESB0000001-MERCHANT_DISBURSEMENTS--F09 M1BBWVRZV67QREDEMPTION,Receipt,1045.00,-366328.85
10/09/2025,NEFT CR-YESAP52532875918-YESB0000001-MERCHANT_DISBURSEMENTS--F09 M1BBWVRZV67QREDEMPTION,Receipt,505.00,-365823.85
11/09/2025,NEFT CR-YESAP52543383747-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,290.00,-365533.85
12/09/2025,NEFT CR-YESAP52552800811-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,55.00,-365478.85
15/09/2025,NEFT CR-YESAP52583145647-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,120.00,-365358.85
16/09/2025,NEFT CR-YESAP52592784151-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,100.00,-365258.85
17/09/2025,NEFT CR-YESAP52602798961-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,98.00,-365160.85
18/09/2025,NEFT CR-YESAP52613216078-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,195.00,-364965.85
19/09/2025,NEFT CR-YESAP52622751872-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,554.95,-364410.90
20/09/2025,NEFT CR-YESAP52632923010-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,165.00,-364245.90
21/09/2025,NEFT CR-YESAP52643360771-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,120.00,-364125.90
22/09/2025,NEFT CR-YESAP52652968205-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,1270.00,-362855.90
23/09/2025,NEFT CR-YESAP52662892674-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,630.00,-362225.90
24/09/2025,NEFT CR-YESAP52672780392-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,20.00,-362205.90
25/09/2025,NEFT CR-YESAP52683136621-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,351.00,-361854.90
26/09/2025,NEFT CR-YESAP52693350766-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,50.00,-361804.90
27/09/2025,NEFT CR-YESAP52703232082-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,825.00,-360979.90
28/09/2025,NEFT CR-YESAP52713137456-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,220.00,-360759.90
29/09/2025,NEFT CR-YESAP52723005544-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,890.00,-359869.90
30/09/2025,NEFT CR-YESAP52732497516-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,190.00,-359679.90
30/09/2025,FOLIO AMT FIXED FOROD,Payment,443.00,-360122.90
30/09/2025,CASA DEBIT INTEREST CAPITALIZED,Payment,3171.00,-363293.90
01/10/2025,NEFT CR-YESAP52743450754-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,1425.00,-361868.90
02/10/2025,NEFT CR-YESAP52752555774-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,655.00,-361213.90
03/10/2025,NEFT CR-YESAP52762494996-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,796.00,-360417.90
04/10/2025,NEFT CR-YESAP52772598582-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,423.00,-359994.90
04/10/2025,INSPECTION CHARGES,Payment,250.00,-360244.90
