date,description,voucher_type,amount,closing
18/05/2026,NEFT_IN:22CITIN266 69149087CITI010000 0//CITIN26669149087 /INDIAIDEAS.COM LTD BBPS,Receipt,11178.00,
18/05/2026,NEFT_IN:24YESIG61 380029652YESB0000 001//YESIG61380029 652/EURONET SERVICES IND,Receipt,5589.00,
18/05/2026,NEFT_IN:24CITIN266 69155598CITI010000 0//CITIN26669155598 /INDIAIDEAS.COM LIMITED-,Receipt,4657.50,
18/05/2026,NEFT_IN:25YESIG61 380034661YESB0000 001//YESIG61380034 661/EURONET SERVICES IND,Receipt,3726.00,
18/05/2026,NEFT_IN:25YESIG61 380033721YESB0000 001//YESIG61380033 721/EURONET SERVICES IND,Receipt,931.50,
18/05/2026,NEFT_IN:27SCBLH1 3800602193SCBL003 6001//SCBLH138006 02193/EURONET SERVICES INDIA P,Receipt,11178.00,
18/05/2026,NEFT_IN:27SCBLH1 3800603542SCBL003 6001//SCBLH138006 03542/EURONET SERVICES INDIA P,Receipt,8383.50,
18/05/2026,NEFT_CHRG:PUNBY 26138691264/SBIN00 05700/43556752017,Payment,17.41,
18/05/2026,NEFT_OUT:PUNBY2 6138691264/BHAWA NI GAS SEWA /SBIN0005700/43556 752017,Payment,140000.00,
18/05/2026,NEFT_IN:33SCBLH1 3800652885SCBL003 6001//SCBLH138006 52885/EURONET SERVICES INDIA P,Receipt,13972.50,
18/05/2026,NEFT_IN:40YESIG61 380150302YESB0000 001//YESIG61380150 302/EURONET SERVICES IND,Receipt,3726.00,
19/05/2026,NEFT_IN:22CITIN266 70338289CITI010000 0//CITIN26670338289 /INDIAIDEAS.COM LTD BBPS,Receipt,2794.50,
19/05/2026,NEFT_IN:23CITIN266 70342324CITI010000 0//CITIN26670342324 /INDIAIDEAS.COM LIMITED-,Receipt,1863.00,
19/05/2026,NEFT_IN:34SCBLH1 3900771042SCBL003 6001//SCBLH139007 71042/EURONET SERVICES INDIA P,Receipt,12109.50,
19/05/2026,NEFT_IN:35HDFCH0 1006799385HDFC00 00240//HDFCH01006 799385/UNITED RUBBER GRANULES,Receipt,25068.00,
19/05/2026,NEFT_IN:40YESIG61 390143328YESB0000 001//YESIG61390143 328/EURONET SERVICES IND,Receipt,931.50,
20/05/2026,NEFT_IN:22CITIN266 70653321CITI010000 0//CITIN26670653321 /INDIAIDEAS.COM LTD BBPS,Receipt,5589.00,
20/05/2026,NEFT_IN:24CITIN266 70661471CITI010000 0//CITIN26670661471 /INDIAIDEAS.COM LIMITED-,Receipt,1863.00,
20/05/2026,NEFT_CHRG:PUNBZ 26140174430/RBIS0 GSTPMT/260506001 92274,Payment,5.61,
20/05/2026,NEFT_OUT:PUNBZ2 6140174430/GST /RBIS0GSTPMT/2605 060019227,Payment,27924.00,
20/05/2026,NEFT_IN:34SCBLH1 4000665247SCBL003 6001//SCBLH140006 65247/EURONET SERVICES INDIA P,Receipt,5589.00,
21/05/2026,NEFT_IN:22CITIN266 71134798CITI010000 0//CITIN26671134798 /INDIAIDEAS.COM LTD BBPS,Receipt,4657.50,
21/05/2026,NEFT_IN:23CITIN266 71139744CITI010000 0//CITIN26671139744 /INDIAIDEAS.COM LIMITED-,Receipt,931.50,
21/05/2026,NEFT_IN:24YESIG61 410087976YESB0000 001//YESIG61410087 976/EURONET SERVICES IND,Receipt,1863.00,
21/05/2026,NEFT_IN:32YESIG61 410121335YESB0000 001//YESIG61410121 335/EURONET SERVICES IND,Receipt,5589.00,
